source_id_dr3,source_id_dr2,angular_distance,sobject_id,teff,logg,fe_h,alpha_fe,snr_c3
5821404690269546496,5821404690269546496,0.18436398,140709002501213,4719.19,2.399545,-0.153028,0.184895,40.111
5396542191705272320,5396542191705272320,0.18460526,140303000402032,6415.61,4.110654,-0.151388,0.086588,158.826
5820301261632166912,5820301261632166912,0.18489595,140312004501215,4508.89,2.632678,-0.218462,0.131579,131.3082
5754070112833089536,5754070112833089536,0.18698205,140114004201172,4646.28,2.403415,-0.009475,0.049064,103.1198
3107222162201327616,3107222162201327616,0.18805285,131216001602128,6031.9,4.189092,0.000695,0.020678,91.1703
5811196377626861568,5811196377626861568,0.18884976,140710004601205,5614.2,4.46104,-0.512352,0.057951,45.6417
5511247647061616640,5511247647061616640,0.18891542,140310002701117,5952.34,4.193457,0.028766,0.004615,58.6093
5821105790590375936,5821105790590375936,0.18891764,140709002501045,4825.25,2.473698,-0.338263,0.052706,44.1098
5395112452930125824,5395112452930125824,0.18959828,140608001401340,4670.18,2.2557,-0.260457,0.132971,48.1839
604908347929907328,604908347929907328,0.18963836,140209002702131,6021.02,4.0304,-0.085353,-0.013998,144.0492
3107060125972805632,3107060125972805632,0.18968366,131218001901038,4904.26,3.196877,-0.335017,0.115243,55.5419
5382108597629318144,5382108597629318144,0.19702184,140413003201322,5254.22,4.515251,-0.019125,-0.053319,84.893
5946678814577108992,5946678814577108992,0.19711003,140707001601171,4739.74,2.418945,-0.088845,0.06371,100.5732
584712930667294336,584712930667294336,0.19845034,140310003301201,5890.25,4.254964,-0.278757,-0.028965,81.5877
3107331666683984384,3107331666683984384,0.19942717,140111002102201,4459.15,1.329376,-0.413721,0.037494,165.2328
5419706157225081856,5419706157225081856,0.1995538,140415002101224,5806.38,4.030868,-0.11468,-0.009173,70.1853
6079302628670705664,6079302628670705664,0.20013046,140608001901093,4843.39,2.428015,-0.268122,0.066085,101.4481
3125808448492424192,3125808448492424192,0.2013391,140118002501285,6960.49,3.399191,-0.150019,-0.070041,80.7609
6459266943555020800,6459266943555020800,0.20139794,140607002001060,5109.08,3.64585,-0.123569,0.066719,52.4642
4128064630677870592,4128064630677870592,0.20208554,140413005401079,6484.78,3.903483,-0.141186,-0.013466,64.8607
5737740922050075648,5737740922050075648,0.20319782,140413002201356,5507.45,4.47061,0.029248,-0.020909,73.2947
6419743043888358400,6419743043888358400,0.20350678,140609003601099,5019.17,2.485623,-0.662724,0.316238,53.3753
584610813524836480,584610813524836480,0.20837623,140310003301371,6233.46,4.221405,-0.19561,0.029653,57.1571
584892258437248768,584892258437248768,0.21190894,140310003301308,5826.89,3.903495,0.056945,0.001312,45.1186
5769985273064013824,5769985273064013824,0.2136085,140711000601133,4850.91,4.592335,0.302541,0.005404,89.4753
2622785241739170816,2622785241739170816,0.21505293,140707003101391,5522.02,4.545014,-0.027984,-0.025803,48.1566
3322366179384755200,3322366179384755200,0.21922556,140118002001063,6793.61,4.094217,-0.194469,-0.006732,63.7028
5481327938505748480,5481327938505748480,0.22399662,131217002801126,5258.33,4.460201,-0.154439,0.019795,111.929
5809786734999132160,5809786734999132160,0.22488557,140711001901076,4643.21,2.709446,-0.186326,0.094019,53.6761
5197061129974226944,5197061129974226944,0.22629905,140307001602239,4673.0,2.353962,-0.258452,0.040647,158.6089
2894203574005830656,2894203574005830656,0.22769871,140310002101114,4233.96,1.650815,-0.287932,0.12641,79.4686
6461260706029560832,6461260706029560832,0.22912702,140713004001275,5336.74,4.53683,0.076268,-0.044604,50.0526
2620025570632738304,2620025570632738304,0.23000807,140711003401291,4627.95,2.676023,-0.050666,0.032554,82.4843
5536077402755747840,5536077402755747840,0.23403455,140310002701309,4118.69,1.270207,-0.431268,0.105445,50.4458
4634339290854196224,4634339290854196224,0.2365556,140711004402165,6243.99,4.132824,-0.175548,0.011029,59.3021
6716024009820753920,6716024009820753920,0.2406197,140607000701136,4501.14,2.222671,-0.182722,0.165675,90.9159
5315698950005642240,5315698950005642240,0.24118024,140316002301193,4869.66,2.872545,-0.437324,0.068681,63.4445
5486400058661752832,5486400058661752832,0.24305171,140114003701242,4480.05,2.152576,-0.120079,0.178051,36.3328
2622446317279989760,2622446317279989760,0.24669221,140707003101186,5658.14,4.432384,-0.033255,0.007492,92.5417
5771799707768711168,5771799707768711168,0.24764453,140708001201097,5165.85,4.445722,0.37732,-0.024828,46.8382
6778409127049491456,6778409127049491456,0.24869263,140707002601046,5623.58,4.350854,0.163769,0.007549,55.6067
4760132904360198144,4760132904360198144,0.2500338,131118002901064,4574.93,1.587644,-1.470133,0.135325,64.3234
5209417720821558272,5209417720821558272,0.25329986,140314003601131,6092.12,3.9587,-0.059556,0.04754,57.7259
2894129460050547712,2894129460050547712,0.25395083,140310002101076,5925.74,4.297127,0.005603,0.001041,133.8517
6412948817940165632,6412948817940165632,0.25987735,140713004002379,6027.11,3.783125,0.233407,-0.401881,74.8127
6162660590902112256,6162660590902112256,0.26056966,140312003501139,6295.12,4.014814,-0.416578,0.288029,82.6167
5673622008122894336,5673622008122894336,0.26634464,140305002601307,6310.19,4.014034,-0.6289,0.074906,40.203
5295468795048184832,5295468795048184832,0.268156,140209002202207,4848.38,3.101149,-0.14196,0.037629,124.5415
5436767760188547072,5436767760188547072,0.27239057,140314004002348,4692.21,2.341571,-0.135039,0.009201,77.562
6702129305283803136,6702129305283803136,0.27519932,140611003001204,4670.94,2.182721,-0.131057,0.131204,46.5864
5673652180269012992,5673652180269012992,0.27608377,140305002601293,5527.83,4.432429,-0.033062,0.052457,33.203
584769074480210816,584769074480210816,0.27762923,140310003301359,6468.72,4.106632,-0.180719,0.089219,90.8004
4667411226228605952,4667411226228605952,0.28072205,131116000501349,5226.91,3.870121,0.324055,-0.060835,41.9254
5503531721131758592,5503531721131758592,0.28516012,140316001801092,4877.2,3.035683,-0.132978,0.090162,57.8816
4206849277358348288,4206849277358348288,0.29672998,140611003501051,6038.9,3.760851,-0.000908,0.02304,39.9656
5503914900934805504,5503914900934805504,0.3188644,140316001801297,4672.59,2.230401,-0.42735,0.108629,52.2875
6049512533648743424,6049512533648743424,0.32420355,140711001301368,7025.43,3.654617,-1.333627,,82.5346
5503720527894202368,5503720527894202368,0.3333982,140316001801135,4812.9,2.85134,-0.193128,0.040685,60.0414
5477707487234309120,5477707487234309120,0.33499068,131123003501053,4993.34,3.287963,-0.212755,0.031001,65.6454
6164550312089432064,6164550312089432064,0.39826435,140710000101306,5878.69,4.617638,-0.46918,0.024315,40.6557
