source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,ebpminrp_gspphot,ruwe,radial_velocity_error,rv_nb_transits,teff_gspphot,logg_gspphot,mh_gspphot,alphafe_gspspec,fem_gspspec,ew_espels_halpha,ew_espels_halpha_flag,nss_solution_type,has_rvs_spectrum,has_bprp_spectrum
4461045267503021696,250.45929396339858,13.147749637878588,20.24918885599842,0.020400137,5.607335183547706,-244.5443634982729,7.7890544,0.0083,0.983773,0.12096415,38,5614.1104,4.2041,0.0204,0.07,-0.07,0.060547955,0,,True,True
5269366221504073088,123.06767133131541,-71.26649418551543,11.848456371814885,0.015978495,56.47131986429343,-81.10401237392634,7.789747,0.0003,0.91670793,0.14703329,20,6452.615,4.056,-0.4608,0.15,-0.1,0.17206965,0,,True,True
2487084684870159488,35.12821648317518,-6.379168646990328,16.078598396533753,0.024643859,-16.394036887496974,-44.638143937236755,7.789955,1e-04,0.9404273,0.18010159,10,6254.789,4.1824,-0.6229,0.25,-0.06,0.12276153,0,,True,True
3605478986040028544,204.89128885671576,-15.616199113032181,6.99491393692627,0.0226061,-91.97613080541743,-26.56055775370511,7.8020825,0.0243,0.98024625,0.12831873,17,6121.5366,3.6101,-0.3882,0.16,-0.12,0.1527437,0,,True,True
6177355018346589696,209.21920323619665,-27.662142270856872,9.625222190859983,0.027592238,-81.0567294775262,-71.83779623466687,7.8097305,0.0055,0.9998692,0.15308999,14,6261.3096,3.8813,-0.3302,0.2,-0.06,0.13278005,0,,True,True
1471958448518765696,203.12950687684577,36.033842470308834,16.43383710655317,0.02090476,83.20523031815782,-288.94726561417633,7.818248,1e-04,0.980337,0.122608654,54,5744.1196,4.1596,-0.9876,0.44,0.04,0.07094124,0,,True,True
623408253837371392,152.53193327272322,18.1856916141328,13.5881979968918,0.024884041,-11.134780346770118,-264.91244464507497,7.8227754,0.035,1.0793738,0.12094041,13,5540.8823,3.8913,0.0698,-0.06,-0.12,0.032186966,0,,True,True
6534858166102087040,353.01914761230285,-43.589958638933,21.447518931393716,0.02946236,92.01128379985587,7.510951656740605,7.8297815,0.0,1.30822,0.1367657,31,5847.0625,4.3743,-0.3273,0.23,,0.09480232,0,,True,True
6667552039706187776,301.914608193403,-48.65285165226488,7.924208594622453,0.0262138,22.884210857623223,-89.65612993346906,7.8463626,0.013,1.0347327,3.043716,18,6443.405,3.8299,-0.3188,0.44,,0.15179117,0,SB1,True,True
4704957491028733824,17.697972554839776,-66.18871187979153,27.69292536424416,0.01613026,110.67080445075229,-123.40583589408429,7.8488874,0.0,0.9226631,0.119166285,20,5266.555,4.4225,0.1745,-0.08,-0.09,0.0048276396,0,,True,True
6425860864023661184,305.9751846404651,-66.17895423612427,11.336559111012132,0.017430011,-66.03323361774133,-10.868400023688123,7.857759,0.0002,0.9014088,0.12019976,55,5777.922,3.8335,-0.4292,0.09,-0.14,0.08633383,0,,True,True
6759168021467638912,287.673692059955,-29.814069259554202,12.975479323720991,0.026152221,-107.28287714970858,-89.91487928435373,7.8756313,0.0016,1.0112745,0.12655939,16,5893.2773,3.9567,-0.3958,0.05,-0.14,0.09489548,0,,True,True
6042173465333496448,243.21079028527365,-28.1319313315844,11.542245683007176,0.15554471,-5.847549364079072,15.405580752152947,7.8760905,0.0019,6.122938,1.3878341,26,6323.3496,3.9553,-0.8675,0.17,-0.14,0.14817394,0,,True,True
6780224734281075072,315.2702178003059,-34.964523134587566,16.862941783486953,0.024542112,29.607612472453646,-100.50188006824737,7.8838043,0.0,1.0084183,0.12629573,22,5792.417,4.1274,-0.2532,0.07,-0.15,0.09415574,0,,True,True
3304412601908736512,63.61408308649261,12.435256533217302,21.055656069583602,0.032478068,114.7307597892001,-13.098735856191265,7.8848915,0.0,1.0200107,0.1573641,12,5737.104,4.3072,-0.1115,0.0,,0.08274934,0,,True,True
6051817591054336896,246.10474367584314,-22.65493315673216,11.92509329991397,0.025716417,30.10347730890252,-14.049803099232097,7.898704,0.0002,0.97558033,0.132437,23,6240.6377,4.0296,-0.4007,0.14,-0.14,0.14264628,0,,True,True
6542969984934147968,343.6334069555376,-41.828515613145214,15.198530898623348,0.024053933,7.4055722396306685,57.85593584614438,7.900944,1e-04,1.0384386,0.16266866,15,6332.305,4.2104,-0.6118,0.3,-0.11,0.15257506,0,,True,True
